action_max,action_min,actor_direction_l2,actor_kernel_mode,actor_relative_solve_residual,actor_system_rows,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,head_critic_cholesky_info_max,head_critic_curvature_coef,head_critic_direction_l2,head_critic_ggn_quadratic,head_critic_jacobi_scale_max,head_critic_jacobi_scale_min,head_critic_kernel_mode,head_critic_linear_solve_dtype,head_critic_objective_coef,head_critic_relative_solve_residual,head_critic_solve_residual,head_critic_solver_mode,head_critic_system_rows,head_history_projection_l2,head_parameter_delta_l2,head_to_actor_update_ratio,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,paper_clip_scale,paper_critic_relative_solve_residual,paper_shared_critic_direction_l2,policy_parameter_delta_l2,post_shared_to_post_head_policy_kl,post_shared_to_post_head_policy_logit_max_abs,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var,shared_parameter_delta_l2,shared_to_actor_update_ratio
14,0,0.2988698184490204,paper_sampled_policy_value_score,1.0877795375563437e-06,512,-1.113638997077942,2.38952374458313,-1.1513675451278687,-4.722904682159424,0.3873666822910309,0.0,0.5,2.6883745193481445,123.5,1.73,1602,2.470855474472046,0,0.1,0.5648545026779175,0.8631194829940796,1.4138812013523852,1.4079219456372016,deterministic_value_head_jacobian_b,torch.float64,1.0,5.278334520340472e-16,2.0081528197657696e-14,symmetric_jacobi_cholesky_fp64,512,1.2825218439102173,0.05715162679553032,0.1912258267402649,0.0042778924107551575,-0.023331843316555023,0.40029942989349365,0.5,9,40960,26.670314703136683,40960,1.0,1e-06,0.20235899090766907,7.957834782246209e-07,2.1706840991973877,0.012646859511733055,0.0,0.0,1.6364556550979614,0.4890420734882355,0.45071229338645935,3.4971814155578613,0.17223811149597168,-1.2087912559509277,1.2396069765090942,0.2165968120098114,0.7247195839881897
14,0,0.30764302611351013,paper_sampled_policy_value_score,5.72971373458131e-07,512,-1.1773834228515625,1.1524313688278198,-1.1817078590393066,-3.3916947841644287,0.2604941725730896,0.0,0.5,2.673063278198242,137.07,2.08,1602,1.1505727767944336,0,0.1,0.3165377676486969,0.1758057177066803,1.4138122754760594,1.4060762915853044,deterministic_value_head_jacobian_b,torch.float64,1.0,5.074411873966354e-16,1.0896894417288515e-14,symmetric_jacobi_cholesky_fp64,512,1.4434186220169067,0.06877817213535309,0.22356486320495605,0.01245143823325634,0.02191023714840412,0.11058805882930756,0.5,19,81920,52.34360854094848,81920,1.0,1e-06,0.43456581234931946,6.39179404515744e-07,0.9303725957870483,0.023965472355484962,0.0,0.0,1.5987097024917603,0.47180667519569397,0.4351903796195984,4.209303855895996,-0.006093242205679417,-1.1590875387191772,1.6680244207382202,0.21921025216579437,0.7125474214553833
14,0,0.4699082672595978,paper_sampled_policy_value_score,4.542665692497394e-07,512,-1.0620217323303223,0.5476582646369934,-1.0607296228408813,-4.627776622772217,0.18680599331855774,0.0,0.5,2.6002750396728516,172.22,2.7,1604,1.0833303928375244,0,0.1,0.3020002245903015,0.28308773040771484,1.413602713225526,1.395645817384983,deterministic_value_head_jacobian_b,torch.float64,1.0,4.927458337906743e-16,8.733923214516101e-15,symmetric_jacobi_cholesky_fp64,512,1.7547694444656372,0.06969241052865982,0.14831067621707916,0.044857148081064224,-0.145224466919899,0.0825715884566307,0.3333333333333333,29,122880,77.99327597627416,122880,1.0,1e-06,0.46153929829597473,5.698989298252854e-07,0.6970617771148682,0.04038124158978462,0.0,0.0,3.053929328918457,0.19280880689620972,0.08641934394836426,3.3268778324127197,-0.11112827062606812,-1.3023320436477661,0.9029160737991333,0.18979425728321075,0.40389639139175415
14,0,0.4877970218658447,paper_sampled_policy_value_score,1.0356208122175303e-06,512,-1.1857542991638184,1.4588056802749634,-1.2002536058425903,-2.4772002696990967,0.12015297263860703,0.0,0.06584362139917695,2.4826316833496094,190.17,3.2,1603,0.5383739471435547,0,0.1,0.10843779146671295,0.031185023486614227,1.4135529879341908,1.3882638543593835,deterministic_value_head_jacobian_b,torch.float64,1.0,5.033117148810314e-16,6.6662010523667885e-15,symmetric_jacobi_cholesky_fp64,512,0.7529323697090149,0.0066310083493590355,0.013593786396086216,0.05157749354839325,-0.055362313985824585,0.02778264321386814,0.0438957475994513,39,163840,103.63193979021162,163840,1.0,1e-06,0.9287207722663879,7.493758289456309e-07,0.22519974410533905,0.01130801159888506,0.0,0.0,3.4631919860839844,0.2283627837896347,0.379229336977005,4.239706516265869,0.09045353531837463,-1.3464903831481934,1.5158764123916626,0.030324967578053474,0.06216718629002571
14,0,0.5218147039413452,paper_sampled_policy_value_score,1.3158659157852526e-06,512,-1.1927745342254639,0.8014240264892578,-1.1785085201263428,-3.092930555343628,0.10319800674915314,0.0,0.001141829130260583,2.4236538410186768,214.67,4.34,1605,0.5422394871711731,0,0.1,0.06263238191604614,0.0017608809284865856,1.4137374078140532,1.384292912264696,deterministic_value_head_jacobian_b,torch.float64,1.0,6.922469061309149e-16,1.033502458539077e-14,symmetric_jacobi_cholesky_fp64,512,0.3449973464012146,6.594228034373373e-05,0.0001263710728380829,0.05760745704174042,-0.22453851997852325,0.03887421637773514,0.0007612194201737219,49,204800,129.29746055789292,204800,1.0,1e-06,0.9221000671386719,6.829778271821851e-07,0.2264471799135208,0.0002080342819681391,0.0,0.0,10.0,0.24180184304714203,0.524539589881897,4.012904644012451,0.22954151034355164,-1.5975621938705444,1.4615391492843628,0.0005233824485912919,0.001003004377707839
14,0,0.5240582227706909,paper_sampled_policy_value_score,7.86793748375203e-07,512,-1.194008708000183,1.5120186805725098,-1.195205807685852,-3.3564887046813965,0.07311093062162399,0.0,0.04378938903808593,2.242567539215088,215.63,4.87,1605,0.6141455173492432,0,0.1,0.09577245265245438,0.009434130974113941,1.413065836754,1.368589538574608,deterministic_value_head_jacobian_b,torch.float64,1.0,5.474228214333007e-16,7.705517100986372e-15,symmetric_jacobi_cholesky_fp64,512,0.9154401421546936,0.0034143486991524696,0.0065152086317539215,0.043890729546546936,-0.06415984034538269,0.04186805337667465,0.029192926025390618,59,245760,154.95651881722733,245760,1.0,1e-06,0.8141379356384277,8.561838171772251e-07,0.2335568219423294,0.005992199294269085,0.0,0.0,2.7188541889190674,0.10000000149011612,0.7933104634284973,4.2989091873168945,0.49747344851493835,-1.2993519306182861,1.6985416412353516,0.02085356041789055,0.03979244828224182
14,0,0.45004355907440186,paper_sampled_policy_value_score,8.595230838182033e-07,512,-1.2043009996414185,-0.15621642768383026,-1.2069250345230103,-3.0006282329559326,0.056903377175331116,0.0,0.002562890624999999,2.0283687114715576,231.98,5.18,1604,0.5141152739524841,0,0.1,0.08598042279481888,0.01081522461026907,1.4123520101760705,1.3173068882820558,deterministic_value_head_jacobian_b,torch.float64,1.0,5.428170549872309e-16,6.354756657483627e-15,symmetric_jacobi_cholesky_fp64,512,0.49229544401168823,0.00021430777269415557,0.0004761934105772525,0.055825818330049515,-0.07236655056476593,0.015786733478307724,0.0017085937499999994,69,286720,180.81297249393538,286720,1.0,1e-06,0.9725426435470581,1.05880394585256e-06,0.2148391455411911,0.0003408130432944745,0.0,0.0,2.278029203414917,0.10678879171609879,0.75504469871521,4.1104888916015625,0.508074939250946,-1.2820371389389038,1.7042268514633179,0.0011868325527757406,0.002637150464579463
14,0,0.44545504450798035,paper_sampled_policy_value_score,1.5562653743472765e-06,512,-1.2657426595687866,-0.07317190617322922,-1.2564866542816162,-2.9942586421966553,0.07967246323823929,0.0,0.00014999999999999993,1.975608229637146,304.4,4.87,1604,0.465672105550766,0,0.1,0.09478319436311722,0.04558935388922691,1.4100641474515194,1.3379035115021396,deterministic_value_head_jacobian_b,torch.float64,1.0,6.43087101448947e-16,7.62821684578922e-15,symmetric_jacobi_cholesky_fp64,512,1.4533318281173706,1.4220438970369287e-05,3.1923398637445644e-05,0.05796271190047264,-0.05352781340479851,0.010613592341542244,0.0001,79,327680,206.70156796788797,327680,1.0,1e-06,1.0,9.992519380830345e-07,0.1502036154270172,1.6590831364737824e-05,0.0,0.0,4.0986247062683105,0.18341587483882904,0.3735502362251282,3.5358262062072754,0.31938403844833374,-1.3695971965789795,0.7071071863174438,6.724350532749668e-05,0.00015095464186742902
14,0,0.4202365577220917,paper_sampled_policy_value_score,1.3532517186831683e-06,512,-1.272813320159912,-0.20899708569049835,-1.2714275121688843,-3.474792718887329,0.06147937476634979,0.0,0.002562890624999999,2.0080485343933105,288.06,5.64,1606,0.44018933176994324,0,0.1,0.07717578858137131,0.008871885947883129,1.4104727435553304,1.3391808071046567,deterministic_value_head_jacobian_b,torch.float64,1.0,6.437873884362008e-16,6.236795804000651e-15,symmetric_jacobi_cholesky_fp64,512,0.7636772394180298,0.00019779412832576782,0.0004706733161583543,0.0528872087597847,-0.04804597795009613,0.00687152985483408,0.0017085937499999994,89,368640,232.34477053582668,368640,1.0,1e-06,1.0,1.5312070900108665e-06,0.12056520581245422,0.0002759394992608577,0.0,0.0,3.554940938949585,0.23146653175354004,0.5436801314353943,3.647116184234619,0.39377298951148987,-1.427404761314392,1.2868876457214355,0.001087218290194869,0.002587157767266035
14,0,0.3598361313343048,paper_sampled_policy_value_score,1.678534999882686e-06,512,-1.2940666675567627,0.004314121790230274,-1.290524959564209,-4.173381328582764,0.06359782814979553,0.0,0.019461950683593746,1.8745239973068237,291.91,5.78,1602,0.4722093343734741,0,0.1,0.09565582126379013,0.018258601427078247,1.4091657592150109,1.341388251374299,deterministic_value_head_jacobian_b,torch.float64,1.0,5.693527973077064e-16,5.348946912906636e-15,symmetric_jacobi_cholesky_fp64,512,1.6039624214172363,0.001861647004261613,0.005173596553504467,0.06535352766513824,-0.08829478174448013,0.008193636313080788,0.012974633789062497,99,409600,258.10136954812333,409600,1.0,1e-06,1.0,1.0163313390876283e-06,0.26123860478401184,0.0021373650524765253,0.0,0.0,3.4034314155578613,0.10000000149011612,0.757257878780365,3.933236598968506,0.787487804889679,-1.317280650138855,1.0131278038024902,0.008481254801154137,0.02356977015733719
