action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_optimizer_state_entries,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var,critic_ratio_max,critic_ratio_min,critic_rows,joint_actor_fisher_quadratic,joint_actor_raw_scale,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_curvature_coef,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_raw_scale,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_predicted_step_kl,joint_relative_solve_residual,joint_solve_residual,joint_solver_mode,joint_system_rows,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics
14,0,-0.30438512563705444,3.6362128257751465,-0.3131977915763855,-4.453658103942871,0.20990490913391113,0.115234375,0.001,2.4623281955718994,562.7,1.8333334,1888,1.5108259916305542,0,0.017495617270469666,-0.008963475003838539,0.050444941967725754,0.001,9,40960,24.70778881572187,40960,1.9431357383728027,0.007808440364897251,0.5735836029052734,10.59326457977295,-0.11332933604717255,-0.31566622853279114,4.022468090057373,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.3786555528640747,3.5377626419067383,-0.4041540026664734,-4.602742671966553,0.21542207896709442,0.07421875,0.001,2.625227928161621,485.58,1.9,1918,2.989842653274536,0,0.00956034753471613,-0.018359791487455368,0.09280939400196075,0.001,19,81920,46.46184736676514,81920,1.5344196557998657,0.380002498626709,0.27629271149635315,7.995190143585205,-0.07479691505432129,-0.4040602445602417,1.2154573202133179,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.4939103126525879,2.0230116844177246,-0.49291980266571045,-2.2598204612731934,0.07186764478683472,0.029296875,0.001,2.6038568019866943,479.06,1.8,1902,1.3495140075683594,0,0.004271943122148514,-0.015322623774409294,0.023892737925052643,0.001,29,122880,68.26586696878076,122880,1.7669709920883179,0.6730292439460754,0.19254326820373535,7.954168319702148,-0.18486198782920837,-0.48622336983680725,1.2678139209747314,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.4791635572910309,2.421109437942505,-0.5009526610374451,-2.7083001136779785,0.13286931812763214,0.09765625,0.001,2.5038681030273438,546.52,1.6,1936,0.9724948406219482,0,0.011741611175239086,-0.017027467489242554,0.0429638996720314,0.001,39,163840,89.93612832482904,163840,4.146651268005371,0.26481276750564575,0.821889340877533,7.640742778778076,-0.18330296874046326,-0.49936532974243164,3.602433443069458,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.5353333950042725,0.39649009704589844,-0.5206174850463867,-2.782787561416626,0.031502433121204376,0.091796875,0.001,2.6363494396209717,497.6,1.83,1855,0.4897930324077606,0,0.007099271286278963,-0.02388778328895569,0.011627206578850746,0.001,49,204800,112.05834837211296,204800,1.5253386497497559,0.5294673442840576,0.02845923975110054,2.0950369834899902,-0.1950538605451584,-0.5140706896781921,0.34537023305892944,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.518031895160675,1.8861262798309326,-0.526960015296936,-1.1774836778640747,0.021558251231908798,0.033203125,0.001,2.6489155292510986,489.36,1.63,1873,1.2235617637634277,0,0.003763950429856777,-0.007896697148680687,0.003471341449767351,0.001,59,245760,134.33069055899978,245760,1.3164328336715698,0.7455593347549438,-0.24696622788906097,7.2821149826049805,-0.32859647274017334,-0.5234745144844055,0.4457997679710388,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.5106971263885498,2.338925838470459,-0.5149378776550293,-3.918454170227051,0.08285727351903915,0.1171875,0.001,2.654879093170166,458.7,2.2,1787,0.8485697507858276,0,0.008987750858068466,-0.0041005900129675865,0.011193329468369484,0.001,69,286720,156.66584355104715,286720,2.4466991424560547,0.5373415946960449,-0.15777665376663208,6.790430068969727,-0.3960247039794922,-0.513310432434082,0.9344300031661987,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.5056296586990356,0.7186483144760132,-0.49975085258483887,-2.124664545059204,0.010302776470780373,0.076171875,0.001,2.663990020751953,422.36,2.0,1869,0.4533495604991913,0,0.0064536817371845245,-0.015855498611927032,0.0036303780507296324,0.001,79,327680,178.9418355980888,327680,1.9301015138626099,0.589384913444519,-0.028080137446522713,6.8984527587890625,-0.3324064612388611,-0.4970230162143707,1.1130868196487427,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.5134705305099487,0.3536178171634674,-0.4992982745170593,-1.8082853555679321,0.03442404791712761,0.046875,0.001,2.5991902351379395,467.66,1.7,1859,0.6267752647399902,0,0.005257433280348778,-0.01906854286789894,0.0153592424467206,0.001,89,368640,201.2191168628633,368640,1.5951656103134155,0.6027752757072449,0.12886551022529602,3.3591554164886475,-0.3702094852924347,-0.4967665374279022,1.0722554922103882,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.46242573857307434,3.680490493774414,-0.5135396718978882,-2.5416717529296875,0.16038069128990173,0.076171875,0.001,2.6407127380371094,513.59,2.4,1904,0.7130427956581116,0,0.006530863232910633,-0.020182210952043533,0.07840879261493683,0.001,99,409600,223.42616791883484,409600,1.6670126914978027,0.5693073272705078,0.1476711928844452,6.439671039581299,-0.3893115520477295,-0.5112195014953613,1.200775384902954,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.510610818862915,3.903869152069092,-0.5216467380523682,-1.8032251596450806,0.10414492338895798,0.072265625,0.001,2.66744327545166,523.98,2.0,1848,0.8933426141738892,0,0.006261165253818035,-0.014837505295872688,0.011832576245069504,0.001,109,450560,245.35907415114343,450560,1.9564411640167236,0.6300060749053955,-0.22822239995002747,6.397589683532715,-0.3687492311000824,-0.5184042453765869,0.33954915404319763,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.548786461353302,0.767187774181366,-0.5332236886024475,-1.666972279548645,0.024706309661269188,0.095703125,0.001,2.5648632049560547,518.56,1.8,1876,0.5051534175872803,0,0.011636750772595406,-0.025182239711284637,0.011388455517590046,0.001,119,491520,267.51511174812913,491520,3.907536506652832,0.37403663992881775,0.15182605385780334,6.414119720458984,-0.2783687114715576,-0.5265151262283325,1.091088891029358,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.49074506759643555,3.7191085815429688,-0.5376379489898682,-2.6033377647399902,0.12348812818527222,0.0,0.020250000000000004,2.582829713821411,489.18,2.5,235,0.6253257393836975,26,0.00877100508660078,-0.0003430275246500969,0.051211923360824585,0.020250000000000004,129,532480,395.8840316287242,532480,2.2270021438598633,0.3622238337993622,0.17042076587677002,6.477030277252197,-0.2963419556617737,-0.5339512228965759,1.6977202892303467,1.0,1.0,512,0.32077735662460327,79.14747619628906,2.8157664172147395e-14,0,0.7995832562446594,0.1,0.11129386723041534,1.0,114.02325439453125,15.52401829981428,0.6253257393836975,1.0,1.4139374296860217,0.576933388740925,exact_deterministic_ggn_2b,torch.float64,4.204855940770358e-05,9.779524731238273e-16,3.08029355080305e-14,symmetrized_jacobi_fullfp64_chunked,1024,1.0,1e-06,paper_sgd_momentum_1e-6
