action_max,action_min,actor_direction_l2,actor_kernel_mode,actor_relative_solve_residual,actor_system_rows,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,head_critic_cholesky_info_max,head_critic_curvature_coef,head_critic_direction_l2,head_critic_ggn_quadratic,head_critic_jacobi_scale_max,head_critic_jacobi_scale_min,head_critic_kernel_mode,head_critic_linear_solve_dtype,head_critic_objective_coef,head_critic_relative_solve_residual,head_critic_solve_residual,head_critic_solver_mode,head_critic_system_rows,head_history_projection_l2,head_parameter_delta_l2,head_to_actor_update_ratio,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,transitions_so_far,optimizer_history_correction,optimizer_momentum,paper_clip_scale,paper_critic_relative_solve_residual,paper_shared_critic_direction_l2,policy_parameter_delta_l2,post_shared_to_post_head_policy_kl,post_shared_to_post_head_policy_logit_max_abs,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var,shared_parameter_delta_l2,shared_to_actor_update_ratio
14,0,0.4703490138053894,paper_sampled_policy_value_score,8.971372835731017e-07,512,-0.3588847815990448,0.37236589193344116,-0.3375416696071625,-1.940393090248108,0.026322390884160995,0.0,0.06584362139917695,2.626760959625244,467.7866666666667,2.1333334,1593,0.47846582531929016,0,0.1,0.04762662947177887,0.0051244269125163555,1.4136487320951725,1.3465524534803786,deterministic_value_head_jacobian_b,torch.float64,1.0,4.899602342159144e-16,2.5131246500472295e-15,symmetric_jacobi_cholesky_fp64,512,0.33550915122032166,0.003135909326374531,0.006667196750640869,0.06970156729221344,-0.14095550775527954,0.004637271165847778,0.0438957475994513,9,40960,32.81422667764127,40960,1.0,1e-06,1.0,6.117435873420618e-07,0.07216169685125351,0.016444163396954536,0.0,0.0,9.445272445678711,0.10000000149011612,-0.035419464111328125,0.8966144323348999,-0.07212505489587784,-0.44037389755249023,0.04851650446653366,0.026368573307991028,0.05606171861290932
14,0,0.4197637736797333,paper_sampled_policy_value_score,1.907857949845493e-06,512,-0.42667657136917114,2.0899527072906494,-0.419939786195755,-12.203546524047852,0.17705386877059937,0.0,0.09876543209876543,2.6797592639923096,573.59,1.3,1593,0.4178524613380432,0,0.1,0.019932791590690613,0.00024292420130223036,1.4139315311215699,1.36032406332136,deterministic_value_head_jacobian_b,torch.float64,1.0,4.673573453090424e-16,2.2752133142607008e-15,symmetric_jacobi_cholesky_fp64,512,0.3748866021633148,0.0019686673767864704,0.004689941182732582,0.025717509910464287,0.06285294145345688,0.004610375501215458,0.09876543209876543,19,81920,58.611129032913595,81920,1.0,1e-06,1.0,8.244124387601914e-07,0.046405624598264694,0.02328261360526085,0.0,0.0,2.6344993114471436,0.10000000149011612,0.09488596022129059,4.495609283447266,0.031570129096508026,-0.14421747624874115,0.1469161957502365,0.03392571210861206,0.0808209627866745
14,0,0.2319127917289734,paper_sampled_policy_value_score,5.256262056718697e-07,512,-0.4666535258293152,8.527789115905762,-0.4966418445110321,-5.215730667114258,0.5186067223548889,0.0,0.5,2.6898066997528076,591.32,1.56,1595,1.4219378232955933,0,0.1,0.4360085427761078,0.2419218122959137,1.4138973664874046,1.3559122231294667,deterministic_value_head_jacobian_b,torch.float64,1.0,6.498424073657186e-16,1.6976221528328824e-14,symmetric_jacobi_cholesky_fp64,512,1.0450161695480347,0.07665733993053436,0.3305438160896301,0.010283996351063251,0.041376836597919464,0.14528611302375793,0.5,29,122880,84.4319240739569,122880,1.0,1e-06,0.35163256525993347,8.057482432377583e-07,1.2300080060958862,0.02747485414147377,0.0,0.0,2.0499157905578613,0.19364316761493683,0.5811628103256226,14.596837997436523,0.25190919637680054,-0.4909020662307739,1.6153335571289062,0.21636426448822021,0.932955265045166
14,0,0.39742711186408997,paper_sampled_policy_value_score,5.179873596716789e-07,512,-0.5469043254852295,7.139259338378906,-0.5947508215904236,-2.530116081237793,0.3748256266117096,0.0,0.5,2.6893506050109863,528.38,1.9,1595,2.2141339778900146,0,0.1,0.539033055305481,0.2544495165348053,1.4139167106787685,1.3830983507576518,deterministic_value_head_jacobian_b,torch.float64,1.0,7.220098630108062e-16,1.932712852094999e-14,symmetric_jacobi_cholesky_fp64,512,0.765171229839325,0.060862671583890915,0.15314172208309174,0.006613634526729584,0.07871419936418533,0.1632167547941208,0.5,39,163840,110.22640319587663,163840,1.0,1e-06,0.2258218228816986,5.659887847286882e-07,2.0575621128082275,0.033162590116262436,0.0,0.0,2.2808163166046143,0.480115681886673,0.4975881576538086,12.651471138000488,0.17194440960884094,-0.5765538215637207,2.2137672901153564,0.2349768728017807,0.591245174407959
14,0,0.414444237947464,paper_sampled_policy_value_score,7.912212254268525e-07,512,-0.6131981611251831,10.842081069946289,-0.6706318855285645,-2.623366117477417,0.5276367664337158,0.0,0.5,2.6772618293762207,528.22,1.86,1595,0.938181459903717,0,0.1,0.16032589972019196,0.01765735261142254,1.413861577196377,1.395207384041221,deterministic_value_head_jacobian_b,torch.float64,1.0,3.699708412887212e-16,1.0765968380590274e-14,symmetric_jacobi_cholesky_fp64,512,0.5089988112449646,0.04272252693772316,0.10308389365673065,0.007142630405724049,0.06764586269855499,0.0888434648513794,0.5,49,204800,136.05228442093357,204800,1.0,1e-06,0.5329453349113464,7.81751850809087e-07,0.7119680047035217,0.08270921558141708,0.0,0.0,1.4508768320083618,0.5134376287460327,0.5113071799278259,11.903037071228027,0.31589746475219727,-0.6583792567253113,1.0129201412200928,0.2261480689048767,0.5456658601760864
14,0,0.32558950781822205,paper_sampled_policy_value_score,6.987899041632772e-07,512,-0.7400444746017456,0.4964280128479004,-0.7263376116752625,-3.854512929916382,0.05997553467750549,0.0,0.5,2.652198553085327,537.99,1.63,1594,0.6959389448165894,0,0.1,0.20313598215579987,0.07852201163768768,1.4138026149241678,1.3872856937575424,deterministic_value_head_jacobian_b,torch.float64,1.0,4.621388595387066e-16,4.842740256532291e-15,symmetric_jacobi_cholesky_fp64,512,1.5841697454452515,0.07297173887491226,0.22412189841270447,0.03200960159301758,-0.1398555189371109,0.03542380407452583,0.5,59,245760,161.8582651047036,245760,1.0,1e-06,0.7184528112411499,5.099792588225682e-07,0.34846675395965576,0.0743069127202034,0.0,0.0,3.0241851806640625,0.15917254984378815,0.12064314633607864,3.321392059326172,-0.01975906454026699,-0.7056370973587036,0.2866753935813904,0.15719975531101227,0.48281580209732056
14,0,0.3055994212627411,paper_sampled_policy_value_score,1.1200871085748076e-05,512,-0.592057466506958,9.41616439819336,-0.6943734884262085,-2.7211692333221436,0.5907148718833923,0.0,0.3333333333333333,2.59755277633667,498.57,2.4,1594,0.8991467356681824,0,0.1,0.41873684525489807,0.287489116191864,1.4138565186654442,1.371586468202172,deterministic_value_head_jacobian_b,torch.float64,1.0,6.18003346476192e-16,1.2941903417114955e-14,symmetric_jacobi_cholesky_fp64,512,1.1784175634384155,0.0776173323392868,0.25398388504981995,0.03452901542186737,0.13324007391929626,0.04637070372700691,0.3333333333333333,69,286720,187.6726445928216,286720,1.0,1e-06,0.5560821294784546,5.125212965140236e-07,0.7666304111480713,0.039107795804739,0.0,0.0,7.091691493988037,0.1210363581776619,0.31224292516708374,10.677810668945312,-0.02726013772189617,-0.6913703680038452,1.6065471172332764,0.1509544402360916,0.49396181106567383
14,0,0.3347740173339844,paper_sampled_policy_value_score,9.161462344309257e-07,512,-0.543840765953064,6.439315319061279,-0.6854005455970764,-3.0150632858276367,0.5975548028945923,0.0,0.5,2.582232713699341,467.69,3.2,1593,1.7578803300857544,0,0.1,0.5371651649475098,0.45635879039764404,1.4138330003110853,1.3492025843081368,deterministic_value_head_jacobian_b,torch.float64,1.0,4.735006629644911e-16,1.2934342412728462e-14,symmetric_jacobi_cholesky_fp64,512,1.1418147087097168,0.07639376074075699,0.22819501161575317,0.015279149636626244,0.1112356036901474,0.15725240111351013,0.5,79,327680,213.48361535090953,327680,1.0,1e-06,0.2844333052635193,8.788931040726311e-07,1.5073423385620117,0.029133226722478867,0.0,0.0,2.7429420948028564,0.600776195526123,0.6407433748245239,9.76624584197998,0.003482431871816516,-0.681058943271637,3.9611825942993164,0.21808484196662903,0.6514389514923096
14,0,0.34332534670829773,paper_sampled_policy_value_score,8.759497518440185e-07,512,-0.6634745597839355,3.0660228729248047,-0.7010570764541626,-4.1092305183410645,0.25074803829193115,0.0,0.5,2.5579094886779785,403.36,2.8,1595,1.3482460975646973,0,0.1,0.45508962869644165,0.35118788480758667,1.4138555964055932,1.3737495100141572,deterministic_value_head_jacobian_b,torch.float64,1.0,4.3393874896440656e-16,8.935315323542126e-15,symmetric_jacobi_cholesky_fp64,512,1.1286680698394775,0.08438535779714584,0.2457883059978485,0.00874832272529602,0.04826308414340019,0.09344247728586197,0.5,89,368640,239.29421268496662,368640,1.0,1e-06,0.37085190415382385,6.210679543983133e-07,1.1293413639068604,0.035046566277742386,0.0,0.0,2.924952983856201,0.3457310199737549,0.813789963722229,8.433531761169434,0.21817630529403687,-0.6872736215591431,2.4440150260925293,0.21622394025325775,0.629793107509613
14,0,0.41943371295928955,paper_sampled_policy_value_score,5.608306992144207e-07,512,-0.772710382938385,2.1058237552642822,-0.7381035685539246,-3.0618133544921875,0.13306115567684174,0.0,0.09876543209876543,2.5474748611450195,471.91,3.3,1592,0.4672965109348297,0,0.1,0.12757478654384613,0.016677623614668846,1.4135119957402704,1.3450449862977467,deterministic_value_head_jacobian_b,torch.float64,1.0,4.3596061367615643e-16,4.365009348577666e-15,symmetric_jacobi_cholesky_fp64,512,0.5271990895271301,0.012599972076714039,0.03004043735563755,0.05366070568561554,-0.08844898641109467,0.01782241463661194,0.06584362139917695,99,409600,265.1038265209645,409600,1.0,1e-06,1.0,6.204639930729172e-07,0.19629046320915222,0.02552172914147377,0.0,0.0,3.3022632598876953,0.10000000149011612,0.3991924226284027,7.75385856628418,0.10179612785577774,-0.9483211040496826,1.3852345943450928,0.03710820525884628,0.0884721577167511
