action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_optimizer_state_entries,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var,critic_ratio_max,critic_ratio_min,critic_rows,critic_trust_reason,critic_trust_update_count_this_rollout,critic_trust_update_count_total,joint_actor_critic_cross_frobenius,joint_actor_fisher_quadratic,joint_actor_raw_scale,joint_actor_rhs_norm,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_actor_cross_frobenius,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_raw_scale,joint_critic_rhs_norm,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_normalized_value_prediction_change_rms,joint_parameter_columns,joint_policy_delta_l2,joint_popart_std,joint_predicted_critic_divergence,joint_predicted_step_kl,joint_raw_value_prediction_change_rms,joint_relative_solve_residual,joint_shared_delta_l2,joint_solve_residual,joint_solver_mode,joint_system_rows,joint_value_delta_l2,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics
14,0,-0.32910633087158203,3.2700016498565674,-0.3473333418369293,-3.9602441787719727,0.2429915815591812,0.11328125,0.001,2.6474766731262207,477.71830985915494,2.3943663,1582,0.9947189092636108,0,0.01225389912724495,-0.018678797408938408,0.03800562769174576,0.001,9,40960,67.15233845682815,40960,2.342859983444214,0.459981769323349,0.21109338104724884,10.693255424499512,-0.10219595581293106,-0.34937044978141785,1.2438052892684937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.409692645072937,10.494573593139648,-0.44437435269355774,-2.1490273475646973,0.31689074635505676,0.19921875,0.001,2.5751752853393555,511.54,1.73,1605,2.2916922569274902,0,0.017526568844914436,-0.004422333091497421,0.1244300901889801,0.001,19,81920,92.79422718985006,81920,1.5222359895706177,0.19156180322170258,-0.00023735128343105316,11.025158882141113,-0.05573295056819916,-0.44132643938064575,0.34940457344055176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.5096798539161682,8.968498229980469,-0.5384225845336914,-4.453052520751953,0.5744409561157227,0.2265625,0.001,2.4494106769561768,507.13,2.6,1582,3.5811667442321777,0,0.020374126732349396,-0.005168234929442406,0.16629429161548615,0.001,29,122880,118.53898611105978,122880,1.7013282775878906,0.36083170771598816,0.5617795586585999,9.438139915466309,0.26643332839012146,-0.5340147614479065,1.1852662563323975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.5795003771781921,3.133591890335083,-0.6159272789955139,-5.26102352142334,0.34223225712776184,0.177734375,0.001,2.3479361534118652,467.52,3.12,1624,1.7213865518569946,0,0.027375876903533936,-0.013822115957736969,0.13134628534317017,0.001,39,163840,144.0238771988079,163840,2.7088310718536377,0.2522340714931488,1.0462138652801514,7.484148025512695,0.3326417803764343,-0.6041013598442078,2.542720317840576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.5720331072807312,4.5074591636657715,-0.6582636833190918,-1.8691965341567993,0.24674110114574432,0.11328125,0.001,2.4850358963012695,485.82,2.68,1689,1.3965282440185547,0,0.009579324163496494,-0.01642940193414688,0.068110391497612,0.001,49,204800,169.62688078917563,204800,1.6517201662063599,0.36103352904319763,0.4652118980884552,6.99681282043457,0.019725458696484566,-0.6515896320343018,1.5483489036560059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.630677342414856,3.5087778568267822,-0.6818798780441284,-1.866660237312317,0.15386323630809784,0.177734375,0.001,2.480980396270752,397.11,2.91,1584,2.339817762374878,0,0.012825226411223412,-0.024480674415826797,0.039317935705184937,0.001,59,245760,195.2128445948474,245760,2.053088665008545,0.4864512085914612,0.2549118399620056,6.543939590454102,-0.1446482241153717,-0.6785553693771362,1.2299338579177856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.7011048793792725,2.1169543266296387,-0.7112557888031006,-1.915369987487793,0.0723891630768776,0.138671875,0.001,2.455159902572632,473.25,2.46,1608,1.2310454845428467,0,0.012634427286684513,-0.008500704541802406,0.016487449407577515,0.001,69,286720,220.56518029095605,286720,2.297783374786377,0.3108498752117157,0.07606451958417892,6.086234092712402,-0.35828447341918945,-0.7030494809150696,1.0667595863342285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.7353030443191528,3.6758151054382324,-0.7295277118682861,-3.8433167934417725,0.1351708471775055,0.154296875,0.001,2.470639944076538,566.5,2.2,1569,0.487914115190506,0,0.013442999683320522,-0.023839890956878662,0.015566350892186165,0.001,79,327680,246.62218173779547,327680,1.759067416191101,0.3862473666667938,-0.12588374316692352,5.917970180511475,-0.32686787843704224,-0.7263782620429993,0.3745498061180115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.7178558111190796,1.4317249059677124,-0.7258346676826477,-1.6503270864486694,0.028220215812325478,0.166015625,0.001,2.474179744720459,592.71,2.35,1609,1.1317561864852905,0,0.011356720700860023,-0.01219012588262558,0.006147163920104504,0.001,89,368640,272.0799560309388,368640,1.6994342803955078,0.5869880318641663,-0.29328590631484985,5.942499160766602,-0.41206493973731995,-0.7259871959686279,0.38979288935661316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.6676462888717651,3.503333330154419,-0.7340264916419983,-2.4915103912353516,0.1816902458667755,0.205078125,0.001,2.3793959617614746,515.52,3.06,1570,0.5615036487579346,0,0.01656101457774639,-0.008142288774251938,0.028245802968740463,0.001,99,409600,298.06237269192934,409600,2.7937166690826416,0.18441660702228546,0.09283105283975601,5.8284759521484375,-0.2912599444389343,-0.7314043045043945,1.4032697677612305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
